workId, aired, genres
"24277","Oct 7, 2014 to Mar 31, 2015","Comedy, Drama, Shounen, Sports"
"24833","Jan 10, 2015 to Jun 20, 2015","Action, Comedy, School, Shounen"
"232","Apr 7, 1998 to Mar 21, 2000","Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
"3702","Aug 8, 2008 to Oct 28, 2008","Music, Comedy, Seinen"
"27821","Oct 5, 2014","Action, Fantasy, Magic, Supernatural"
"721","Aug 16, 2002 to May 23, 2003","Comedy, Drama, Fantasy, Magic, Mystery, Romance"
"11123","Oct 8, 2011 to Dec 24, 2011","Comedy, Drama, Romance, Shounen Ai"
"1559","Oct 7, 2006 to Sep 30, 2007","Action, Comedy, Martial Arts, School, Shounen"
"440","Apr 2, 1997 to Dec 24, 1997","Comedy, Drama, Fantasy, Mystery, Psychological, Shoujo"
"2167","Oct 5, 2007 to Mar 28, 2008","Comedy, Drama, Romance, School, Slice of Life, Supernatural"
"2025","Apr 6, 2007 to Sep 28, 2007","Action, Sci-Fi, Mystery, Super Power"
